[22/9/23, 17:25:44] Maga: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.
[22/9/23, 17:25:44] Antonio Murillo Sevillano: https://maps.app.goo.gl/Tdrzv5EpChmwDpRx7?g_st=iw
‎[23/9/23, 11:34:39] Antonio Murillo Sevillano: ‎imagen omitida
[23/9/23, 11:43:05] Antonio Murillo Sevillano: pasame el numero del vape otra ves
[23/9/23, 11:43:07] Antonio Murillo Sevillano: q lo he perdido
[23/9/23, 14:00:46] Antonio Murillo Sevillano: Pablo squirrel fucker a puntuado bien
[23/9/23, 14:01:05] Maga: Voy
[23/9/23, 14:01:09] Maga: Me acabo de despertar
[23/9/23, 14:01:14] Maga: Vaya noche rara
[23/9/23, 14:01:15] Antonio Murillo Sevillano: Q has hecho
[23/9/23, 14:01:34] Maga: Acabamos en el piso de unas chavalas en el juncal
[23/9/23, 14:01:44] Maga: Esta gente se fue de rave
[23/9/23, 14:01:48] Maga: Y yo pa casa
[23/9/23, 14:01:50] Antonio Murillo Sevillano: Desplegaste magic?
[23/9/23, 14:02:00] Antonio Murillo Sevillano: Despliegue de época
[23/9/23, 14:02:02] Maga: Que va no eran my type
[23/9/23, 14:02:23] Maga: Vamos ni el de ninguno creo yo
[23/9/23, 14:02:33] Maga: Pero bueno
[23/9/23, 14:02:49] Antonio Murillo Sevillano: No eran mujeres ?
[23/9/23, 14:03:28] Maga: Si pero raxetas
[23/9/23, 14:03:53] Maga: La verdad que acabamos más alli x el plan de piso que otra cosa
[23/9/23, 14:03:55] Antonio Murillo Sevillano: Han echado a Pablo y a alex de shine por ser gays
[23/9/23, 14:04:15] Maga: Quienes?
[23/9/23, 14:04:15] Antonio Murillo Sevillano: Polonia tierra de libertades
[23/9/23, 14:04:23] Antonio Murillo Sevillano: Me he pensado en llevarme la soloñac
‎[23/9/23, 14:04:45] Antonio Murillo Sevillano: ‎<adjunto: 00000026-AUDIO-2023-09-23-14-04-45.opus>
[23/9/23, 14:05:06] Maga: Que cojones
[23/9/23, 14:05:45] Maga: Van a poner tu cara x los carteles
[23/9/23, 14:16:09] Antonio Murillo Sevillano: Si
[23/9/23, 14:16:14] Antonio Murillo Sevillano: Hoy te llega el vale
[23/9/23, 14:21:00] Maga: Supuestamente
